id,date,visitor_id,trainer_id,price
1557268b-3f2c-4373-a17d-4c9f6094c78c,03-09-2022,2190ffb3-e835-4545-bd95-9d552172e0d7,a8f0b49a-3f07-4ec5-aca0-adc0c4363c93,1700
71ad7ce5-14bb-42bf-adb5-e3b5f434cb08,24-06-2023,5afd81c9-ef0d-41ef-b6cb-7e73e45c8fc5,46692c43-f43d-43f3-b497-89e29eeea6a0,2300
f06b4ea6-9dc5-4771-9f9e-e71240209c3d,21-06-2023,71d7e095-2d48-424d-ae44-6aa2bfb66106,bbe240ce-b9c5-471c-a715-4a6405027a4c,900
a2aafe8c-0368-496a-aa73-95558ef2a4a7,02-04-2022,f1c570f8-afe4-4f71-bd79-16058cd5e72a,5d96347e-d3c1-42be-b2a8-b84c7c9a9645,900
c28324b4-4aa3-40f7-8ac1-bc37f7122c20,08-02-2023,3b80a765-9e64-4d96-938e-72a34981bab5,120e5631-b147-44a9-85e3-5981253155cb,700
8efab83f-a1cb-4507-a8b5-6119ff85442f,03-03-2023,5afd81c9-ef0d-41ef-b6cb-7e73e45c8fc5,24622453-6296-451d-9dd1-eb5f85179c24,1900
4824af1d-4a69-41de-b214-ff5ba5439f25,05-09-2023,71d7e095-2d48-424d-ae44-6aa2bfb66106,46692c43-f43d-43f3-b497-89e29eeea6a0,2300
acc9cea0-3714-4673-b8d6-479c7561274b,22-10-2022,2190ffb3-e835-4545-bd95-9d552172e0d7,24622453-6296-451d-9dd1-eb5f85179c24,1900
3dd1374d-cafd-4c00-9414-d3b141e97746,09-09-2023,2190ffb3-e835-4545-bd95-9d552172e0d7,24622453-6296-451d-9dd1-eb5f85179c24,1300
8ef44b4e-8db9-49c9-85bb-9a0d4df0899a,21-12-2022,5afd81c9-ef0d-41ef-b6cb-7e73e45c8fc5,46692c43-f43d-43f3-b497-89e29eeea6a0,2100
fbef9144-bcce-484a-a50a-f3d29cd0ff11,04-12-2022,5afd81c9-ef0d-41ef-b6cb-7e73e45c8fc5,46692c43-f43d-43f3-b497-89e29eeea6a0,900
60d7d4a3-55ab-403f-90d4-d701ada207d3,10-09-2023,2190ffb3-e835-4545-bd95-9d552172e0d7,24622453-6296-451d-9dd1-eb5f85179c24,2100
553cb767-6ce3-4e61-ac3f-247051eb6399,06-09-2023,71d7e095-2d48-424d-ae44-6aa2bfb66106,46692c43-f43d-43f3-b497-89e29eeea6a0,1700
e15840b8-e781-41fe-b253-cd4af4713eb3,24-05-2022,71d7e095-2d48-424d-ae44-6aa2bfb66106,46692c43-f43d-43f3-b497-89e29eeea6a0,500
4ab06167-da27-42b8-a64a-1d9acee9bfa6,09-03-2022,f1c570f8-afe4-4f71-bd79-16058cd5e72a,70aa6d01-6230-4325-a591-9ec83e6d55b0,900
9a88859b-674f-42c3-973a-2a2244dfd395,19-07-2023,2190ffb3-e835-4545-bd95-9d552172e0d7,d68274cc-dc2f-43ae-9aac-9273ce02f84d,1700
bce75327-80ab-438e-bd0f-2d228cbf0e17,02-02-2023,f1c570f8-afe4-4f71-bd79-16058cd5e72a,5d96347e-d3c1-42be-b2a8-b84c7c9a9645,2100
1d674241-d406-4451-8e22-b0924bf7c52b,05-10-2022,3b80a765-9e64-4d96-938e-72a34981bab5,a88d9f22-a7b8-4edb-8f04-1573f624df46,1700
0fe37ba4-9b62-47a6-b332-1c1225d7c2c0,24-09-2023,71d7e095-2d48-424d-ae44-6aa2bfb66106,d68274cc-dc2f-43ae-9aac-9273ce02f84d,2300
366cb33f-6204-4ccb-9ea3-631ec8b52326,05-01-2022,2190ffb3-e835-4545-bd95-9d552172e0d7,a8f0b49a-3f07-4ec5-aca0-adc0c4363c93,2300
56b79711-52d1-4fa3-bd73-28ca15e24e89,11-03-2022,3b80a765-9e64-4d96-938e-72a34981bab5,a8f0b49a-3f07-4ec5-aca0-adc0c4363c93,500
e2911606-ecc3-4461-8ea5-1bc799a68c2c,21-04-2023,71d7e095-2d48-424d-ae44-6aa2bfb66106,bbe240ce-b9c5-471c-a715-4a6405027a4c,2300
